MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,SAP_FLUX,SAP_BKG,PDCSAP_FLUX,RESULT
2.1890962865217546E8,2.194347169814263E8,2.188603233068614E8,2.1886157345605645E8,2.5520736849999988E8,2.237430350499993E8,2.6010522429999968E8,0
2.1884462464791396E8,2.187353500243423E8,2.1886004185919687E8,2.1886004176713663E8,3641222.0,2.1521621018999994E8,4696111.0,0
2.1886434325889274E8,2.188949802559348E8,2.1886005056928673E8,2.1886005866609713E8,1.2634948E7,2.1972375540000007E8,1.0737306E7,0
2.1893435552294016E8,2.1934460226734945E8,2.1886327309673664E8,2.1887962819465876E8,1.72182701E8,2.2990957061000025E8,1.15417774E8,0
2.189295255524685E8,2.1935731435507715E8,2.1886005112265489E8,2.1886012820954272E8,8.2197109E7,2.3523582239999908E8,3.5039007E7,0
2.1884449457076687E8,2.187541565743076E8,2.188600418549009E8,2.1886004176384494E8,1.1351973E8,2.1659399343999997E8,1.03890045E8,0
2.1886437581013438E8,2.188897079267453E8,2.1886005061409387E8,2.1886005885842633E8,2.48130716E8,2.194352093600003E8,2.35402573E8,0
2.1893495892168695E8,2.1927248169128802E8,2.1886330409270442E8,2.188767787601328E8,5.91202577E8,2.270091967000002E8,6.27503301E8,0
2.1893027700014818E8,2.192848644362542E8,2.188600506994249E8,2.18860126690415E8,6.27925232E8,2.3218442223000026E8,6.41508639E8,0
2.189213357927553E8,2.192856653765886E8,2.1886493352537555E8,2.1889157336771587E8,6.26922601E8,2.315614555700004E8,6.29512453E8,0
2.1892811286819872E8,2.193220098100998E8,2.18860187506884E8,2.1886043978283495E8,6.81740703E8,2.2862211166000015E8,6.67729235E8,0
2.1893905516575453E8,2.192948204716997E8,2.1886021422688732E8,2.1886030154053742E8,6.07366602E8,2.275305937499997E8,6.42728631E8,0
2.189321713558969E8,2.192964541010747E8,2.188600525305786E8,2.1886012631763858E8,6.33845403E8,2.3245417236999926E8,6.52581257E8,0
2.188984858750099E8,2.1912703171868742E8,2.1886342639464128E8,2.188818578939689E8,4.73236354E8,2.2701806549999964E8,4.78556121E8,0
2.189317118137836E8,2.193473934454621E8,2.188603444623862E8,2.1886133652816373E8,6.98409177E8,2.299660566000007E8,6.9936031E8,0
2.189438274863399E8,2.1932109002025026E8,2.1886034326678124E8,2.188609675737298E8,6.27085038E8,2.2808113083000028E8,6.64866663E8,0
2.1887457098219392E8,2.1886917004605132E8,2.1886005080003226E8,2.1886005803286228E8,2.2048217163000005E8,2.190010686970001E8,2.210269109000009E8,1
2.1907479379037467E8,2.1899065593514043E8,2.1886888214021742E8,2.1886562414346814E8,2.3572257709999982E8,2.2074761545400038E8,2.4378233357999974E8,1
